# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
CVM,11,"1,82","9,09%","15,00%",00:01:22,"3,09"
direito,11,"2,73","18,18%","3,33%",00:03:30,"6,73"
Marica,11,"2,55","18,18%","25,00%",00:01:14,"1,09"
mp sp,11,"2,09","45,45%","13,04%",00:04:25,"1,64"
PAEI,11,"2,91","18,18%","18,75%",00:01:04,"1,91"
PEDRO II,11,"3,45","0,00%","5,26%",00:04:03,"6,18"
POLICIA,11,"2,55","18,18%","21,43%",00:01:37,"2,00"
Prefeitura rj,11,"2,45","72,73%","7,41%",00:04:51,"1,82"
Resultado da prova de agente educador,11,"3,64","9,09%","7,50%",00:03:30,"1,55"
Rio Bonito,11,"2,27","36,36%","0,00%",00:07:55,"3,36"
tcm sp,11,"2,36","18,18%","3,85%",00:01:56,"4,09"
Trf3,11,"2,00","27,27%","4,55%",00:04:22,"4,73"
tribunal,11,"2,82","18,18%","16,13%",00:07:27,"11,64"
agente de transito,10,"2,10","30,00%","19,05%",00:02:58,"2,50"
ARARUAMA,10,"2,00","20,00%","20,00%",00:01:41,"0,80"
banco central,10,"1,90","10,00%","5,26%",00:07:16,"5,40"
bombeiro rj,10,"2,40","30,00%","12,50%",00:03:14,"5,40"
Concurso Comlurb,10,"1,60","40,00%","6,25%",00:02:05,"1,50"
Concurso polícia civil rj,10,"2,40","0,00%","16,67%",00:05:05,"3,80"
Concurso rio de janeiro,10,"2,20","80,00%","9,09%",00:00:28,"0,20"
Concursos rj,10,"3,80","60,00%","2,63%",00:06:05,"1,50"
cremerj,10,"1,70","60,00%","11,76%",00:04:23,"2,50"
depen,10,"2,30","40,00%","8,70%",00:10:22,"3,50"
Engenheiro,10,"3,20","40,00%","3,12%",00:03:25,"4,70"
esfcex,10,"3,20","10,00%","9,38%",00:12:00,"7,90"
Faetec,10,"2,70","60,00%","11,11%",00:00:23,"0,70"
fundamental,10,"1,70","30,00%","23,53%",00:05:39,"8,00"
Magistério,10,"2,50","40,00%","4,00%",00:02:09,"2,70"
mp-sp,10,"2,50","10,00%","12,00%",00:07:48,"3,70"
Necrópsia,10,"3,10","20,00%","3,23%",00:07:42,"6,30"
nutricionista,10,"2,80","30,00%","3,57%",00:02:38,"8,30"
Paei,10,"2,40","20,00%","25,00%",00:00:37,"0,40"
pc mt 2018,10,"1,20","0,00%","0,00%",00:01:57,"2,10"
PGE,10,"2,30","50,00%","13,04%",00:00:50,"1,60"
PGE RJ,10,"2,00","20,00%","10,00%",00:05:01,"3,40"
