# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
Centro oeste,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Cepuerj,1,"1,00","0,00%","0,00%",00:00:54,"1,00"
cers,1,"1,00","0,00%","100,00%",00:00:21,"0,00"
Certo,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Cesd,1,"1,00","0,00%","100,00%",00:00:03,"0,00"
Cesgranrio,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
CESGRANRIO,1,"2,00","0,00%","50,00%",00:00:13,"0,00"
cespe,1,"1,00","0,00%","100,00%",00:16:06,"6,00"
CESPE,1,"2,00","0,00%","0,00%",00:06:55,"2,00"
Cfo,1,"2,00","0,00%","0,00%",00:01:07,"6,00"
CFO,1,"2,00","0,00%","50,00%",00:01:55,"7,00"
cfo pmerj,1,"2,00","0,00%","50,00%",00:00:41,"2,00"
CFS,1,"4,00","100,00%","0,00%",00:00:43,"2,00"
cfs 2,1,"4,00","100,00%","0,00%",00:00:40,"2,00"
cge,1,"1,00","0,00%","100,00%",00:00:46,"0,00"
cge mg,1,"2,00","0,00%","0,00%",00:00:27,"1,00"
CGU,1,"2,00","0,00%","0,00%",00:02:40,"4,00"
Chad,1,"6,00","0,00%","16,67%",00:01:59,"0,00"
Chamados concurso caixa,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
chancelaria,1,"2,00","0,00%","0,00%",00:00:35,"1,00"
CHAYENE ROSA,1,"2,00","0,00%","0,00%",00:08:52,"6,00"
christian,1,"3,00","0,00%","66,67%",00:31:04,"33,00"
christian bernardo,1,"2,00","0,00%","50,00%",00:00:29,"0,00"
christian danniel,1,"1,00","0,00%","100,00%",00:01:46,"0,00"
Cibaf,1,"2,00","0,00%","50,00%",00:00:30,"0,00"
cidadania,1,"2,00","0,00%","0,00%",00:00:07,"2,00"
ciência política,1,"2,00","0,00%","50,00%",00:00:49,"3,00"
ciencias,1,"15,00","0,00%","0,00%",00:09:37,"9,00"
Ciências smerj,1,"2,00","0,00%","50,00%",00:01:06,"4,00"
Ciências sociais,1,"2,00","0,00%","0,00%",00:00:24,"1,00"
cient,1,"2,00","0,00%","0,00%",00:41:15,"11,00"
ciminal,1,"2,00","0,00%","50,00%",00:00:06,"0,00"
Cincurso da policia civil RJ,1,"7,00","0,00%","14,29%",00:16:03,"3,00"
cirurgiao dentista,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
cirurgião dentista,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Cirurgião dentista,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Citopatologia,1,"3,00","0,00%","33,33%",00:01:49,"4,00"
"Cível, penal e processos",1,"1,00","0,00%","0,00%",00:08:17,"13,00"
civi rj,1,"2,00","0,00%","0,00%",00:03:20,"2,00"
cívil,1,"1,00","0,00%","100,00%",00:00:10,"0,00"
Cívil,1,"2,00","0,00%","0,00%",00:13:36,"8,00"
Civil 2009 necropsia,1,"2,00","0,00%","0,00%",00:19:56,"9,00"
civil militar e federal,1,"2,00","0,00%","50,00%",00:00:12,"0,00"
Civil prova,1,"2,00","0,00%","0,00%",00:00:16,"1,00"
CIVIL RJ,1,"2,00","0,00%","0,00%",00:00:27,"1,00"
civil-mg,1,"4,00","0,00%","0,00%",00:13:05,"11,00"
civil-rj,1,"1,00","0,00%","100,00%",00:20:15,"2,00"
civilo,1,"2,00","0,00%","50,00%",00:00:07,"0,00"
civilrj,1,"7,00","0,00%","0,00%",00:02:47,"19,00"
Cl bombeiros,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
classificaçã final PAEI,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Classificaçao,1,"2,00","0,00%","0,00%",00:01:44,"6,00"
classificacao agente educado 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Classificação Agente Educador,1,"7,00","0,00%","14,29%",00:04:01,"11,00"
Classificação agente educador ll,1,"2,00","0,00%","0,00%",00:00:22,"1,00"
Classificação concurso agente educador ll RJ,1,"2,00","0,00%","0,00%",00:01:18,"3,00"
classificação concurso de a gente educador,1,"4,00","0,00%","0,00%",00:13:09,"8,00"
Classificação concurso professor adjunto da educação infantil,1,"3,00","0,00%","0,00%",00:09:06,"20,00"
classificação concurso tec enf,1,"2,00","100,00%","0,00%",00:15:35,"15,00"
classificação da prova agente educador,1,"2,00","0,00%","50,00%",00:02:42,"4,00"
classificação da prova de professor adjunto da prefeitura do Rio,1,"6,00","100,00%","0,00%",00:02:14,"0,00"
Classificação da prova de títulos paei,1,"1,00","0,00%","0,00%",00:08:01,"7,00"
Classificação da prova do agente educador rj,1,"4,00","0,00%","0,00%",00:04:36,"3,00"
Classificação da saúde rj,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
classificação de agente educador,1,"2,00","0,00%","0,00%",00:28:12,"14,00"
Classificação de agente educador II RJ,1,"2,00","0,00%","0,00%",00:00:21,"1,00"
classificação de professor adjunto,1,"2,00","0,00%","0,00%",00:12:39,"19,00"
Classificação de professor adjunto de educação infantil,1,"4,00","100,00%","0,00%",00:00:53,"0,00"
Classificação do agente educador,1,"6,00","100,00%","0,00%",00:04:00,"5,00"
Classificação do agente educador 2019,1,"2,00","0,00%","0,00%",00:00:04,"2,00"
Classificação do concuersouerj2019 tecnico de enfermagem,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
classificação do concurso,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
classificaçao do concurso agente educador 2 2019,1,"2,00","0,00%","0,00%",00:13:50,"5,00"
Classificação do concurso de paei,1,"1,00","0,00%","0,00%",00:00:31,"4,00"
Classificação do concurso do guarda municipal de Salvador de 2019,1,"2,00","0,00%","0,00%",00:04:54,"2,00"
Classificação do concurso para paei 2019,1,"2,00","0,00%","0,00%",00:00:07,"2,00"
Classificação do concurso SMS 2019,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Classificação do final o Concurso de Professor Adjunto d SME Da prefeitura RJ,1,"6,00","0,00%","0,00%",00:01:06,"1,00"
Classificação dos aprovados no concurso de Santa Luzia de 30/06/ 2019 ver resultados para professores P2,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
classificação dos titulos de prova de professor adjunto rj,1,"4,00","0,00%","0,00%",00:10:41,"11,00"
Classificação final concurso prefeitura RJ 2019,1,"5,00","100,00%","0,00%",00:02:16,"0,00"
Classificação final da prova de concurso público de saúde Itapevi,1,"1,00","0,00%","0,00%",00:29:06,"4,00"
Classificação final de Paei 2019 Rj,1,"3,00","100,00%","0,00%",00:00:05,"0,00"
Classificação Final do concurso de professor adjunto da prefeitura Municipal do Rio de Janeiro adjunto da prefeitura Municipal do Rio,1,"2,00","0,00%","0,00%",00:00:19,"4,00"
"Classificação Final do Concurso Professor Adjunto,2019",1,"2,00","0,00%","0,00%",00:23:55,"3,00"
classificacao final do paei,1,"2,00","0,00%","50,00%",00:00:48,"0,00"
Classificação final no concurso de PAEI,1,"2,00","0,00%","0,00%",00:05:39,"5,00"
classificação final prefeitura do rio de janeiro técnico de enfermagem,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Classificação final professor adjunto,1,"5,00","100,00%","0,00%",00:00:56,"0,00"
classificacao final professoradjuntodoriodejaneiro,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Classificação final SMS enfermeiros 2019,1,"4,00","0,00%","25,00%",00:00:35,"0,00"
Classificação final SMS RJ enfermeiros 2019,1,"4,00","100,00%","0,00%",00:00:06,"0,00"
classificação final técnico enfermagem sms,1,"2,00","0,00%","0,00%",00:23:24,"8,00"
classificaçao geral,1,"2,00","0,00%","0,00%",00:01:28,"2,00"
classificação geral agende ed,1,"2,00","0,00%","0,00%",00:02:22,"2,00"
Classificação geral candidatos que realizaram exame da eaer de Junho de 2019 bct (controlador de vôo ),1,"2,00","0,00%","0,00%",00:03:51,"2,00"
Classificação geral concurso 01/2018 sao jose do rio preto,1,"1,00","0,00%","100,00%",00:02:43,"1,00"
Classificação geral do concurso agente educador,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Classificação Geral professor adjunto de Educação Infantil,1,"7,00","0,00%","14,29%",00:02:28,"0,00"
classificacao ginal do paei,1,"4,00","0,00%","25,00%",00:04:07,"1,00"
Classificação motorista,1,"2,00","0,00%","50,00%",00:00:49,"0,00"
classificação paei,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Classificação paie,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Classificação paie rio de janeiro 2019,1,"1,00","0,00%","0,00%",00:00:41,"1,00"
Classificação PM RJ 2010,1,"3,00","0,00%","33,33%",00:00:43,"0,00"
Classificação prof adjunto 2019,1,"4,00","100,00%","0,00%",00:00:56,"0,00"
classificação professor adjunto,1,"2,00","0,00%","50,00%",00:02:15,"2,00"
Classificação prova agente educador2 rj 2019,1,"4,00","0,00%","0,00%",00:33:22,"4,00"
classificados agente educador ll rj,1,"7,00","0,00%","0,00%",00:07:59,"7,00"
Classificados do concurso,1,"2,00","0,00%","0,00%",00:00:14,"1,00"
Claudia Barbosa,1,"2,00","0,00%","50,00%",00:00:22,"0,00"
Cldf,1,"3,00","100,00%","0,00%",00:00:31,"1,00"
Clima,1,"6,00","0,00%","0,00%",00:01:23,"1,00"
Cncurso para gari.,1,"1,00","0,00%","100,00%",00:02:08,"1,00"
CNPq,1,"5,00","100,00%","0,00%",00:00:33,"0,00"
Co curso polícia civil,1,"4,00","0,00%","0,00%",00:00:32,"1,00"
Coach,1,"1,00","0,00%","0,00%",00:05:15,"4,00"
COBLUN,1,"1,00","0,00%","0,00%",00:04:34,"3,00"
coccurso policia militar do pará,1,"2,00","0,00%","0,00%",00:02:46,"1,00"
cocnurso banco do Brasil,1,"1,00","0,00%","0,00%",00:00:15,"1,00"
Cocurso,1,"1,00","0,00%","100,00%",00:00:50,"1,00"
Cocurso em aberto,1,"3,00","0,00%","0,00%",01:11:34,"35,00"
codebo,1,"2,00","0,00%","50,00%",00:00:09,"0,00"
Codeg,1,"3,00","0,00%","33,33%",00:02:01,"1,00"
codego,1,"2,00","0,00%","50,00%",00:00:10,"0,00"
Cofere,1,"2,00","0,00%","50,00%",00:00:15,"0,00"
colégio dom pedro II,1,"3,00","0,00%","0,00%",00:02:27,"7,00"
Colégio federal,1,"7,00","100,00%","14,29%",00:02:11,"0,00"
Colégio federal 2019,1,"2,00","0,00%","50,00%",00:00:13,"0,00"
Colégio militar 2020,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Colégio militar rj,1,"2,00","0,00%","0,00%",00:01:43,"2,00"
Colegio naval,1,"1,00","0,00%","0,00%",00:03:07,"3,00"
COLEGIO PEDRO,1,"1,00","0,00%","0,00%",00:01:53,"2,00"
Colégio pedro,1,"2,00","0,00%","0,00%",00:00:18,"1,00"
Colégio Pedro,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
colegio pedro 2,1,"1,00","0,00%","0,00%",00:00:29,"2,00"
Colegio pedro 2,1,"2,00","0,00%","0,00%",00:00:16,"1,00"
Colegio Pedro ii,1,"2,00","100,00%","0,00%",00:02:28,"1,00"
Colegio Pedro II,1,"2,00","0,00%","0,00%",00:00:30,"2,00"
colégio Pedro II,1,"1,00","0,00%","100,00%",00:03:13,"11,00"
Colégio Pedro ii,1,"2,00","0,00%","0,00%",00:01:55,"6,00"
Colégio Pedro II - Técnico-Administrativo - 2019,1,"2,00","0,00%","50,00%",00:00:14,"0,00"
colégio pedro ll,1,"1,00","0,00%","100,00%",00:00:25,"0,00"
colegio pedro segundo,1,"8,00","0,00%","25,00%",00:14:00,"36,00"
Colégio Pedro segundo 2019,1,"2,00","0,00%","50,00%",00:00:50,"0,00"
colegio pedro segundo tecnico administrativo,1,"4,00","100,00%","0,00%",00:00:18,"0,00"
colegio pedro segundo tecnicoa dministrativo,1,"3,00","0,00%","33,33%",00:01:47,"3,00"
colegiol pedro II,1,"2,00","0,00%","50,00%",00:00:15,"0,00"
Colubir,1,"6,00","0,00%","50,00%",00:00:44,"0,00"
Columb,1,"2,00","0,00%","50,00%",00:06:56,"6,00"
columber,1,"2,00","100,00%","0,00%",00:00:47,"0,00"
columrb,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Coluna Claudia Barbosa,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
colurb rj,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Colurb rj,1,"2,00","0,00%","50,00%",00:00:16,"0,00"
com,1,"1,00","0,00%","100,00%",00:00:04,"0,00"
Com curso agente de em demais de barcarena pará,1,"1,00","0,00%","0,00%",00:02:05,"4,00"
comara de fortaleza,1,"6,00","0,00%","16,67%",00:03:19,"0,00"
Comclurb,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
comcurso de betim 2019,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
come,1,"1,00","0,00%","0,00%",00:00:18,"3,00"
comercio,1,"1,00","0,00%","100,00%",00:00:06,"0,00"
Comercio,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Comércio,1,"2,00","0,00%","0,00%",00:00:16,"2,00"
comlçurb,1,"1,00","0,00%","100,00%",00:00:11,"0,00"
Comlu,1,"2,00","0,00%","0,00%",00:01:01,"1,00"
comluber,1,"1,00","0,00%","100,00%",00:00:08,"0,00"
Comlubr 2019,1,"4,00","0,00%","0,00%",00:11:07,"7,00"
Çomlurb,1,"1,00","0,00%","0,00%",00:00:23,"1,00"
Comlurb 2013,1,"2,00","0,00%","50,00%",00:00:17,"0,00"
Comlurb 2019 aconpanhar,1,"4,00","0,00%","25,00%",00:01:46,"0,00"
Comlurb edital,1,"1,00","0,00%","0,00%",00:00:11,"1,00"
Comlurb gari,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Comlurb inscrição,1,"1,00","0,00%","100,00%",00:01:14,"1,00"
Comlurb RJ,1,"2,00","0,00%","0,00%",00:00:10,"1,00"
COMLURB RJ,1,"4,00","0,00%","25,00%",00:00:31,"0,00"
Comlurb RJ concurso,1,"1,00","0,00%","100,00%",00:00:31,"0,00"
Comlurb rj quando sera,1,"1,00","0,00%","0,00%",00:01:14,"4,00"
COMLURB-RJ,1,"4,00","100,00%","0,00%",00:01:40,"6,00"
ComlurbCo,1,"2,00","0,00%","50,00%",00:00:08,"0,00"
ComlurbCom,1,"4,00","0,00%","25,00%",00:00:27,"0,00"
comlurbe,1,"3,00","0,00%","0,00%",00:01:17,"7,00"
Comlurbe rj,1,"2,00","0,00%","50,00%",00:00:46,"0,00"
Como acessar meu cartão resposta,1,"4,00","0,00%","0,00%",00:01:10,"1,00"
Como conseguir o boleto do concurso de auxiliar de educação,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Como entrar no site da fundacao aroeira,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
como escolher sua área,1,"1,00","0,00%","0,00%",00:03:43,"1,00"
como estudar,1,"2,00","0,00%","0,00%",00:12:52,"2,00"
Como estudar para tecnico de necropsia,1,"4,00","100,00%","0,00%",00:00:20,"0,00"
Como faco pra fazer a prova do concurso do ibge,1,"8,00","0,00%","0,00%",00:06:45,"4,00"
Como faço pra me inscrever Para prova,1,"3,00","0,00%","0,00%",00:00:24,"2,00"
Como faço pra retirar a ficha,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Como faço pra saber se minha inscrição para serviço temporário foi concluída?,1,"2,00","0,00%","50,00%",00:00:28,"2,00"
Como fazer a inscrição,1,"4,00","100,00%","0,00%",00:00:56,"0,00"
Como fazer escrição,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Como fazer planilha de estudos para concursos,1,"2,00","0,00%","50,00%",00:04:09,"4,00"
Como fazer restituição do concurso Alagoinhas,1,"8,00","0,00%","0,00%",00:06:38,"10,00"
como imprimir boleto,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
como ingressar no exército,1,"2,00","0,00%","50,00%",00:03:24,"6,00"
Como me escrever,1,"4,00","0,00%","25,00%",00:01:54,"6,00"
como não perder vaga,1,"2,00","0,00%","50,00%",00:00:21,"0,00"
Como são as provas da marinha,1,"1,00","0,00%","0,00%",00:23:24,"4,00"
Como se candidatar ao concurso da prefeitura de cabo frio ?,1,"3,00","100,00%","0,00%",00:05:45,"6,00"
Como se escreve no concurso de gari,1,"5,00","0,00%","20,00%",00:08:04,"14,00"
Como se escrever,1,"2,00","0,00%","0,00%",00:01:27,"1,00"
Como se escrever para o concurso da ana,1,"1,00","0,00%","0,00%",00:03:53,"3,00"
Como se formar,1,"2,00","0,00%","0,00%",00:00:07,"1,00"
Como se inscreve no concurso,1,"1,00","0,00%","100,00%",00:00:49,"0,00"
Como se inscreve no concurso ibge,1,"5,00","100,00%","0,00%",00:01:06,"0,00"
Como se inscrever no concurso público pra guarda municipal de nova Iguaçu,1,"2,00","0,00%","50,00%",00:01:59,"0,00"
Como ser agente educador escolar?,1,"7,00","100,00%","0,00%",00:23:02,"0,00"
Como será calculado o resultado após canceladas duas questões,1,"2,00","0,00%","0,00%",00:01:22,"3,00"
Como vencer provas do cespe,1,"2,00","0,00%","0,00%",00:00:07,"2,00"
Como Vistar o cartão resposta,1,"2,00","0,00%","50,00%",00:00:32,"0,00"
Comoficaquempassounoconcursoparaaux. deservicoseducacional,1,"2,00","0,00%","0,00%",00:00:58,"4,00"
compras,1,"2,00","0,00%","0,00%",00:00:24,"6,00"
Compreensão e interpretação de textos,1,"2,00","0,00%","50,00%",00:08:45,"20,00"
Compromisso,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
comprovação de experiencia,1,"2,00","0,00%","0,00%",00:00:10,"1,00"
comprovante de inscricao eduacacao de sao pedro da aldeia,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Computação,1,"2,00","0,00%","0,00%",00:09:24,"23,00"
COMSAMU,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
COMUNICAÇÃO SOCIAL,1,"3,00","0,00%","0,00%",00:12:39,"26,00"
Con,1,"1,00","0,00%","100,00%",00:00:18,"0,00"
Conc da pcauxiliar necropsia,1,"2,00","0,00%","0,00%",00:01:15,"2,00"
Conc PC RJ 2019,1,"2,00","0,00%","0,00%",00:08:23,"8,00"
concersso,1,"1,00","0,00%","0,00%",00:00:44,"4,00"
Concluido ensino médio no instituto quinze de janeiro em 2004,1,"1,00","0,00%","0,00%",00:04:55,"4,00"
Concordância,1,"1,00","0,00%","0,00%",00:00:50,"3,00"
concorrência,1,"3,00","0,00%","0,00%",00:01:34,"2,00"
Concorrência,1,"13,00","100,00%","0,00%",00:09:35,"7,00"
Concorrencia prova do professor paraiba,1,"2,00","0,00%","0,00%",00:00:35,"3,00"
concuesos arraruama,1,"2,00","0,00%","0,00%",00:02:37,"2,00"
"concurs. device. concurs co. ,concurodeQueimadoeducacao",1,"4,00","100,00%","0,00%",00:10:16,"0,00"
CONCURSADA PERDEU A CHAMADA,1,"2,00","0,00%","0,00%",00:00:09,"2,00"
concursados,1,"2,00","0,00%","0,00%",00:00:21,"1,00"
Concurseiros perdem a nomeação,1,"2,00","0,00%","0,00%",00:00:20,"3,00"
Concursi Itaperuna,1,"1,00","0,00%","0,00%",00:00:46,"2,00"
concurso 2005,1,"5,00","0,00%","0,00%",00:17:07,"1,00"
concurso 2014,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso 2014 rj,1,"6,00","0,00%","16,67%",00:01:53,"3,00"
CONCURSO 2019,1,"6,00","0,00%","16,67%",00:04:33,"8,00"
Concurso 2019 auxiliar de necropsia,1,"2,00","0,00%","0,00%",00:01:32,"1,00"
concurso 2019 ma,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso 2019 rj,1,"8,00","0,00%","0,00%",00:05:21,"4,00"
Concurso 2019 Santa luzia,1,"5,00","0,00%","0,00%",00:07:13,"2,00"
CONCURSO ABERTO,1,"3,00","0,00%","0,00%",00:02:26,"4,00"
Concurso aberto 2019 no rio de janeiro,1,"2,00","0,00%","0,00%",00:07:20,"5,00"
Concurso aberto minas gerais,1,"2,00","0,00%","0,00%",00:00:37,"1,00"
Concurso aberto na Bahia,1,"4,00","0,00%","0,00%",00:04:03,"10,00"
Concurso aberto rio de janeiro,1,"4,00","0,00%","0,00%",00:33:48,"8,00"
Concurso aberto rj,1,"2,00","0,00%","0,00%",00:00:38,"1,00"
concurso ABIN,1,"1,00","0,00%","100,00%",00:01:12,"0,00"
Concurso adiado de bombeiros em São Paulo dia 6/7/2019,1,"3,00","100,00%","0,00%",00:00:48,"0,00"
concurso Agente educador,1,"2,00","0,00%","0,00%",00:00:26,"2,00"
concurso agente educador II,1,"2,00","0,00%","50,00%",00:00:50,"0,00"
concurso agente educador ll 2019,1,"2,00","0,00%","50,00%",00:01:43,"0,00"
concurso agente educador rio de janeiro,1,"3,00","100,00%","0,00%",00:00:04,"0,00"
concurso agente educador rj,1,"1,00","0,00%","0,00%",00:00:40,"1,00"
Concurso agente educador Rj,1,"6,00","100,00%","0,00%",00:02:11,"1,00"
Concurso Alagoas,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso almirante marinha,1,"1,00","0,00%","0,00%",00:02:14,"6,00"
Concurso analista judiciário,1,"2,00","0,00%","50,00%",00:00:34,"0,00"
concurso aneel,1,"1,00","0,00%","0,00%",00:00:03,"1,00"
Concurso aracaju,1,"5,00","0,00%","0,00%",00:03:12,"1,00"
Concurso Araruama,1,"1,00","0,00%","0,00%",00:11:30,"7,00"
Concurso Araruama 2015 guarda-civil,1,"1,00","0,00%","0,00%",00:01:55,"2,00"
Concurso auxiliar de creche,1,"9,00","100,00%","0,00%",00:05:38,"0,00"
Concurso auxiliar de necrobicia,1,"2,00","0,00%","0,00%",00:00:39,"1,00"
Concurso auxiliar necropsia,1,"2,00","0,00%","0,00%",00:00:26,"1,00"
Concurso Bahia,1,"4,00","0,00%","0,00%",00:02:02,"2,00"
Concurso banco central,1,"4,00","0,00%","25,00%",00:03:57,"2,00"
Concurso banco do Brasil,1,"1,00","0,00%","0,00%",00:02:05,"3,00"
CONCURSO BANCO DO BRASIL,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso banco do brasil 2019,1,"4,00","100,00%","0,00%",00:01:20,"0,00"
Concurso banco do Nordeste,1,"4,00","0,00%","0,00%",00:01:28,"6,00"
concurso barra mansa,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso Barra mansa rj,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso BB,1,"1,00","0,00%","100,00%",00:06:39,"1,00"
concurso betim 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso biologo,1,"4,00","0,00%","25,00%",00:01:33,"1,00"
concurso bnb,1,"2,00","0,00%","0,00%",00:00:13,"1,00"
concurso bombeiro,1,"1,00","0,00%","0,00%",00:00:31,"1,00"
Concurso bombeiro 2019 rio de janeiro,1,"2,00","0,00%","0,00%",00:02:36,"1,00"
Concurso bombeiro militar rj,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
concurso bombeiro minas gerais,1,"2,00","0,00%","50,00%",00:24:47,"8,00"
concurso bombeiro-rj,1,"2,00","0,00%","50,00%",00:00:08,"0,00"
Concurso bombeiros,1,"5,00","0,00%","0,00%",00:07:33,"4,00"
Concurso bombeiros 2019 es,1,"2,00","0,00%","0,00%",00:00:16,"1,00"
Concurso bombeiros rj,1,"4,00","0,00%","25,00%",00:05:44,"14,00"
Concurso bombeiros rj 2020,1,"4,00","100,00%","0,00%",00:00:31,"1,00"
Concurso brb,1,"4,00","0,00%","50,00%",00:00:20,"2,00"
Concurso Cabo frio,1,"4,00","0,00%","0,00%",00:00:46,"3,00"
Concurso Cabo Frio,1,"2,00","0,00%","0,00%",00:00:38,"2,00"
concurso cabo frio 2019,1,"1,00","0,00%","0,00%",00:01:47,"3,00"
Concurso cabo frio 2019,1,"1,00","0,00%","0,00%",00:00:04,"1,00"
Concurso cabo friorj,1,"4,00","0,00%","0,00%",00:03:39,"2,00"
concurso cabofrio,1,"4,00","0,00%","0,00%",00:11:48,"7,00"
Concurso caixa 2014,1,"2,00","0,00%","0,00%",00:00:23,"2,00"
Concurso Caixa econômica Federal,1,"4,00","0,00%","25,00%",00:06:08,"1,00"
Concurso camara de Petrolina,1,"2,00","0,00%","50,00%",00:00:22,"0,00"
Concurso Câmara do alto Caparaó mg,1,"6,00","100,00%","0,00%",00:01:00,"0,00"
concurso campinas,1,"1,00","0,00%","0,00%",00:01:07,"2,00"
Concurso Campos dos Goytacazes,1,"2,00","0,00%","0,00%",00:04:27,"3,00"
concurso candeias,1,"2,00","0,00%","0,00%",00:00:12,"1,00"
Concurso capão da canoa,1,"1,00","0,00%","100,00%",00:00:09,"0,00"
Concurso cartório,1,"4,00","0,00%","25,00%",00:00:55,"0,00"
Concurso cartório rj,1,"2,00","0,00%","50,00%",00:00:34,"0,00"
Concurso cartório RJ,1,"1,00","0,00%","100,00%",00:00:35,"0,00"
CONCURSO CAXIAS,1,"2,00","0,00%","0,00%",00:00:31,"2,00"
Concurso CEF,1,"4,00","100,00%","25,00%",00:00:40,"0,00"
concurso colegio pedro 2,1,"4,00","0,00%","0,00%",00:00:25,"2,00"
Concurso colégio Pedro II,1,"4,00","0,00%","25,00%",00:03:11,"1,00"
Concurso colegio pedro segundo,1,"2,00","0,00%","50,00%",00:00:22,"0,00"
Concurso columb,1,"1,00","0,00%","100,00%",00:00:59,"1,00"
Concurso colurb,1,"1,00","0,00%","0,00%",00:01:00,"4,00"
Concurso comlumb rj,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso Comlurb Rj,1,"2,00","0,00%","50,00%",00:00:40,"5,00"
Concurso conlurb,1,"1,00","0,00%","0,00%",00:09:28,"20,00"
concurso correios,1,"1,00","0,00%","100,00%",00:00:24,"0,00"
Concurso crea go,1,"2,00","0,00%","0,00%",00:03:07,"5,00"
Concurso Cremerj 2019,1,"2,00","0,00%","0,00%",00:00:57,"3,00"
concurso cvm,1,"2,00","0,00%","50,00%",00:00:58,"0,00"
concurso d pedro ii,1,"2,00","0,00%","0,00%",00:14:47,"14,00"
concurso da camara de Petrolina,1,"2,00","0,00%","50,00%",00:00:40,"0,00"
concurso da cef,1,"1,00","0,00%","0,00%",00:00:27,"2,00"
Concurso da colu,1,"2,00","0,00%","50,00%",00:08:55,"0,00"
Concurso da colubi,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso da colurb,1,"2,00","0,00%","0,00%",00:00:32,"1,00"
Concurso da Comlurb 2019,1,"2,00","0,00%","50,00%",00:00:18,"0,00"
Concurso da Comlurb no Rio de janeiro,1,"2,00","0,00%","50,00%",00:02:12,"1,00"
Concurso da Comlurb rj,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso da comlurbe,1,"3,00","0,00%","33,33%",00:00:38,"1,00"
Concurso da comlurbe rj,1,"1,00","0,00%","100,00%",00:00:59,"0,00"
Concurso da conlurb,1,"1,00","0,00%","100,00%",00:00:09,"0,00"
concurso da cuidador de criança,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso da gari 2019,1,"2,00","0,00%","0,00%",00:00:19,"2,00"
Concurso da Guarda Municipal de São Gonçalo,1,"7,00","100,00%","0,00%",00:01:39,"0,00"
Concurso da pc,1,"1,00","0,00%","100,00%",00:00:22,"0,00"
concurso da pm,1,"4,00","0,00%","0,00%",00:08:46,"17,00"
Concurso da PM pe 2020,1,"3,00","0,00%","0,00%",00:22:29,"8,00"
concurso da Polícia Civil,1,"2,00","0,00%","0,00%",00:14:52,"8,00"
